page_num,table_index,table_row_index,classification,col_count,col_count_flag,col_00,col_01,col_02,col_03,col_04,col_05,col_06,col_00_raw_repr
2,0,25,ACCEPTED,7,OK,23-330,RFP,Consulting Engineering Services for Delta South Surrey Greenway Design Phase 3,20-Feb-24,Aplin & Martin Consultants Ltd.,NA,No,'23-330'
2,0,26,ACCEPTED,7,OK,23-330,RFP,Consulting Engineering Services for Delta South Surrey Greenway Design Phase 3,20-Feb-24,Hatch Ltd.,NA,No,'23-330'
2,0,27,ACCEPTED,7,OK,23-330,RFP,Consulting Engineering Services for Delta South Surrey Greenway Design Phase 3,20-Feb-24,AECOM Canada Ltd.,NA,No,'23-330'
2,0,29,ACCEPTED,7,OK,22-505,RFP,Construction - IIWWTP CEPT Winterization,21-Feb-24,North America Construction (1993) Ltd.,NA,No,'22-505'
2,0,33,ACCEPTED,7,OK,23-241,RFP-MA,AIWWTP Sludge and Scum Area I/O Migration,25-Feb-24,Wood Canada Ltd.,NA,No,'23-241'
2,0,34,ACCEPTED,7,OK,23-241,RFP-MA,AIWWTP Sludge and Scum Area I/O Migration,25-Feb-24,Tetra Tech Canada Inc.,NA,No,'23-241'
2,0,35,ACCEPTED,7,OK,23-241,RFP-MA,AIWWTP Sludge and Scum Area I/O Migration,25-Feb-24,Brown & Caldwell,NA,No,'23-241'
2,0,37,ACCEPTED,7,OK,23-184,RFP,Iona WWTP Long-Term Lagoon Cleaning,11-Mar-24,GFL Environmental Services Inc.,NA,No,'23-184'
2,0,38,ACCEPTED,7,OK,23-184,RFP,Iona WWTP Long-Term Lagoon Cleaning,11-Mar-24,Clean Harbors,NA,No,'23-184'
2,0,39,ACCEPTED,7,OK,23-184,RFP,Iona WWTP Long-Term Lagoon Cleaning,11-Mar-24,Lambourne Environmental Ltd.,NA,No,'23-184'
3,0,1,ACCEPTED,7,OK,23-184,RFP,Iona WWTP Long-Term Lagoon Cleaning,11-Mar-24,SECURE Energy,NA,No,'23-184'
3,0,4,ACCEPTED,7,OK,24-066,RFP,Orthoimagery/LiDAR Acquisition Project,14-Mar-24,Aero Geometrics Ltd.,NA,No,'24-066'
