competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded
24-138,SS/NOIC,Final Calibration of Strait of Georgia (SoG) model and MIKE Operations tools,24-Apr-24,DHI Water & Environment Inc.,"$93,300",Yes
24-010,SS/NOIC,Surrey Whalley Valve Chamber No. 2 Emergency Valve Replacements,24-Apr-24,CB Process Instrumentation & Controls,"$87,065",Yes
23-389,RFQ,Water Main Condition Assessments for Marine Crossings,26-Apr-24,Pure Technologies Ltd.,"$210,000",Yes
23-389,RFQ,Water Main Condition Assessments for Marine Crossings,26-Apr-24,Corrosion Service Company Ltd.,,Yes
23-389,RFQ,Water Main Condition Assessments for Marine Crossings,26-Apr-24,Pipeline Inspection and Condition Analysis Corp. (PICA),NA,No
23-389,RFQ,Water Main Condition Assessments for Marine Crossings,26-Apr-24,F-MARQS,NA,No
23-422,RFP-MA,Consulting Engineering Services for Delta Nature Reserve Boardwalk Replacement,29-Apr-24,R.F. Binnie & Associates Ltd.,"$389,460",Yes
23-422,RFP-MA,Consulting Engineering Services for Delta Nature Reserve Boardwalk Replacement,29-Apr-24,Parsons Inc.,NA,No
24-052,RFP,Disposal Ban Exemption Project,1-May-24,Dillon Consulting Ltd.,"$269,925",Yes
24-109,ITQ,Lynn Headwaters Caretaker Tenancy Agreement,1-May-24,Douglas P. Aylsworth,"$75,888",Yes
24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,Ramboll Canada Inc.,"$207,818",Yes
24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,6893449 Canada Inc.,NA,No
24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,ESMIA Consultants Inc.,NA,No
24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,Weaver Technical Corp.,NA,No
24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,Hatch Ltd.,NA,No
24-053,RFP,Consulting Services for Reducing Greenhouse Gases from Industrial Emitters,7-May-24,Green PI Inc.,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Signia Construction Ltd.,"$8,160,895",Yes
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Centra Construction Group Ltd.,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,New City Contracting Ltd.,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,RJS Construction Ltd.,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Pro-Can Construction Group Corp.,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Roma Building Restoration Ltd.,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,All Round Home Improvements & Restorations Ltd.,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Eggert Projects Ltd.,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Prostar Contracting,NA,No
23-411,ITT,Strathearn Court – Building Envelope Rehabilitation,9-May-24,Dura Seal Ltd.,NA,No
24-199,RFP,Rental Housing Blueprint: Standardized Zoning and Regulations to Streamline 6-Storey Rental Housing,14-May-24,SvN Architects and Planners Inc.,"$95,585",Yes
24-007,RFP,Nuisance Mosquito Control Program for Metro Vancouver and Participating Municipalities,15-May-24,Morrow BioScience Ltd.,"$685,864",Yes
24-007,RFP,Nuisance Mosquito Control Program for Metro Vancouver and Participating Municipalities,15-May-24,Duka Environmental Services Ltd.,NA,No
23-291,RFP,Electrical and Mechanical Services For C3 To Grit Separators,16-May-24,enCompass Solutions Group,"$1,672,253",Yes
24-130,SS/NOIC,Supply and Delivery of Dewatering Polymer to Iona WWTP,23-May-24,SNF Canada Ltd.,"$1,230,000",Yes
22-426,RFP,Construction of the Grandview Pump Station Improvements Project,29-May-24,Industra Construction Corp.,"$1,576,525",Yes
22-426,RFP,Construction of the Grandview Pump Station Improvements Project,29-May-24,North America Construction (1993) Ltd.,NA,No
22-426,RFP,Construction of the Grandview Pump Station Improvements Project,29-May-24,Tritech Group Ltd.,NA,No
23-128,ITT,Construction Services for Concrete Manhole Lids on Front Street,29-May-24,Oscar Renda Contracting of Canada,"$1,667,143",Yes
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Capital Green Landscapes Ltd.,"$777,110",Yes
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Cedar Crest Lands (B.C.) Ltd.,NA,No
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Lafarge Canada Inc.,NA,No
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,MAREX Constructors Ltd.,NA,No
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,New Rhodes Construction Inc.,NA,No
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Double M Excavating Ltd.,NA,No
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Poschner Construction (88) Ltd.,NA,No
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Howard Wilson Construction Ltd.,NA,No
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,GPM Civil Contracting Inc.,NA,No
24-017,ITT,Construction of South Uplands Entrance Area,29-May-24,Landesign Ltd.,NA,No
22-508,RFP,Project Controls Support Services,3-Jun-24,Turner and Townsend Canada Inc.,"$1,239,957",Yes
22-508,RFP,Project Controls Support Services,5-Jun-24,Rider Hunt International (Alberta) Inc.,"$2,346,745",Yes
22-508,RFP,Project Controls Support Services,3-Jul-24,PTAG Inc.,"$1,013,298",Yes
23-407,ITT,Annacis Island Wastewater Treatment Plant (AIWWTP) Emergency Sanitary Sewer and Maintenance Holes Rehabilitation,3-Jun-24,Michels Canada Co.,"$884,431",Yes
