vendor_name_key,vendor_name,variant_count,vendor_name_display,merge_confidence,merge_notes,variants_pipe
crestview strategy,"['Crestview Strategy', 'Crestview Strategy Inc.']",2,,,,Crestview Strategy | Crestview Strategy Inc.
coquitlam ridge constructors,"['COQUITLAM RIDGE CONSTRUCTORS LTD', 'Coquitlam Ridge Constructors Ltd.']",2,,,,COQUITLAM RIDGE CONSTRUCTORS LTD | Coquitlam Ridge Constructors Ltd.
naes,"['NAES Corp.', 'NAES Corporation']",2,,,,NAES Corp. | NAES Corporation
coastal pacific landscaping,"['Coastal Pacific Landscaping', 'Coastal Pacific Landscaping Ltd']",2,,,,Coastal Pacific Landscaping | Coastal Pacific Landscaping Ltd
secure energy,"['SECURE Energy', 'Secure Energy']",2,,,,SECURE Energy | Secure Energy
cleartech industries,"['CLEARTECH INDUSTRIES INC.', 'ClearTech Industries']",2,,,,CLEARTECH INDUSTRIES INC. | ClearTech Industries
moza home construction,"['Moza Home Construction Inc.', 'Moza Home Construction Ltd']",2,,,,Moza Home Construction Inc. | Moza Home Construction Ltd
scott construction 2005,"['Scott Construction (2005) Ltd', 'Scott Construction (2005) Ltd.']",2,,,,Scott Construction (2005) Ltd | Scott Construction (2005) Ltd.
mott macdonald canada,"['Mott MacDonald Canada', 'Mott MacDonald Canada Ltd.']",2,,,,Mott MacDonald Canada | Mott MacDonald Canada Ltd.
cima canada,"['CIMA CANADA INC', 'CIMA Canada Inc.']",2,,,,CIMA CANADA INC | CIMA Canada Inc.
mott electric general partnership,"['MOTT ELECTRIC GENERAL PARTNERSHIP', 'Mott Electric General Partnership']",2,,,,MOTT ELECTRIC GENERAL PARTNERSHIP | Mott Electric General Partnership
chemtrade chemicals canada,"['CHEMTRADE CHEMICALS CANADA LTD.', 'Chemtrade Chemicals Canada LTD']",2,,,,CHEMTRADE CHEMICALS CANADA LTD. | Chemtrade Chemicals Canada LTD
morrison hershfield,"['Morrison Hershfield', 'Morrison Hershfield Limited']",2,,,,Morrison Hershfield | Morrison Hershfield Limited
cedar crest lands bc,"['Cedar Crest Lands (B.C.) Ltd.', 'Cedar Crest Lands (BC) Ltd.']",2,,,,Cedar Crest Lands (B.C.) Ltd. | Cedar Crest Lands (BC) Ltd.
mitchell installations,"['MITCHELL INSTALLATIONS LTD.', 'Mitchell Installations Ltd.']",2,,,,MITCHELL INSTALLATIONS LTD. | Mitchell Installations Ltd.
millennium ems solutions,"['Millennium EMS Solutions Ltd', 'Millennium EMS Solutions Ltd.']",2,,,,Millennium EMS Solutions Ltd | Millennium EMS Solutions Ltd.
capital green landscapes,"['Capital Green Landscapes Ltd', 'Capital Green Landscapes Ltd.']",2,,,,Capital Green Landscapes Ltd | Capital Green Landscapes Ltd.
canadian landscape civil services,"['Canadian Landscape & Civil Services Ltd', 'Canadian Landscape & Civil Services Ltd.']",2,,,,Canadian Landscape & Civil Services Ltd | Canadian Landscape & Civil Services Ltd.
mgr workforce,"['MGR WORKFORCE', 'MGR Workforce']",2,,,,MGR WORKFORCE | MGR Workforce
mettler toledo,"['METTLER-TOLEDO INC.', 'Mettler Toledo Inc.']",2,,,,METTLER-TOLEDO INC. | Mettler Toledo Inc.
cambie roofing contractors,"['CAMBIE ROOFING CONTRACTORS LTD', 'Cambie Roofing Contractors Ltd.']",2,,,,CAMBIE ROOFING CONTRACTORS LTD | Cambie Roofing Contractors Ltd.
sacre davey engineering,"['Sacre-Davey Engineering', 'Sacre‐Davey Engineering']",2,,,,Sacre-Davey Engineering | Sacre‐Davey Engineering
cabin operations,"['CABIN OPERATIONS LTD.', 'Cabin Operations Ltd']",2,,,,CABIN OPERATIONS LTD. | Cabin Operations Ltd
bureau veritas canada 2019,"['BUREAU VERITAS CANADA (2019) INC.', 'Bureau Veritas Canada (2019) Inc.']",2,,,,BUREAU VERITAS CANADA (2019) INC. | Bureau Veritas Canada (2019) Inc.
bty consultancy group,"['BTY Consultancy Group Inc.', 'BTY Consultancy Group Ltd.']",2,,,,BTY Consultancy Group Inc. | BTY Consultancy Group Ltd.
brown and caldwell consultants canada,"['BROWN AND CALDWELL CONSULTANTS CANADA', 'Brown and Caldwell Consultants Canada Ltd.']",2,,,,BROWN AND CALDWELL CONSULTANTS CANADA | Brown and Caldwell Consultants Canada Ltd.
ryder architecture canada,"['Ryder Architecture (Canada) Inc', 'Ryder Architecture (Canada) Inc.']",2,,,,Ryder Architecture (Canada) Inc | Ryder Architecture (Canada) Inc.
brenntag canada,"['BRENNTAG CANADA INC.', 'Brenntag Canada Inc.']",2,,,,BRENNTAG CANADA INC. | Brenntag Canada Inc.
maven consulting,"['Maven Consulting Limited', 'Maven Consulting Ltd.']",2,,,,Maven Consulting Limited | Maven Consulting Ltd.
blue water systems,"['Blue Water Systems', 'Blue Water Systems Ltd.']",2,,,,Blue Water Systems | Blue Water Systems Ltd.
matcon civil constructors,"['Matcon Civil Constructors', 'Matcon Civil Constructors Inc.']",2,,,,Matcon Civil Constructors | Matcon Civil Constructors Inc.
rush contractors group,"['RUSH CONTRACTORS GROUP', 'Rush Contractors Group Inc']",2,,,,RUSH CONTRACTORS GROUP | Rush Contractors Group Inc
maple reinders constructors,"['MAPLE REINDERS CONSTRUCTORS LTD.', 'Maple Reinders Constructors Ltd.']",2,,,,MAPLE REINDERS CONSTRUCTORS LTD. | Maple Reinders Constructors Ltd.
bfa studio architects,"['BFA Studio Architects', 'BFA Studio Architects Inc.']",2,,,,BFA Studio Architects | BFA Studio Architects Inc.
bestway flooring,"['BESTWAY FLOORING LTD', 'Bestway Flooring']",2,,,,BESTWAY FLOORING LTD | Bestway Flooring
wood canada,"['Wood Canada Limited', 'Wood Canada Ltd.']",2,,,,Wood Canada Limited | Wood Canada Ltd.
bennett mechanical installations 2001,"['Bennett Mechanical Installations (2001) Ltd', 'Bennett Mechanical Installations (2001) Ltd.']",2,,,,Bennett Mechanical Installations (2001) Ltd | Bennett Mechanical Installations (2001) Ltd.
belpacific excavating shoring,['BELPACIFIC EXCAVATING & SHORING'],1,,,,BELPACIFIC EXCAVATING & SHORING
roth iams,['Roth IAMS Ltd.'],1,,,,Roth IAMS Ltd.
veolia water technologies canada,['Veolia Water Technologies Canada Inc.'],1,,,,Veolia Water Technologies Canada Inc.
release your voice,['Release your voice'],1,,,,Release your voice
ren ex earthworks,['REN EX EARTHWORKS'],1,,,,REN EX EARTHWORKS
kisters,['Kisters'],1,,,,Kisters
klondike infrastructure,['Klondike Infrastructure Ltd.'],1,,,,Klondike Infrastructure Ltd.
amy tsang landscape architect,['Amy Tsang Landscape Architect'],1,,,,Amy Tsang Landscape Architect
retro specialty contractors,['Retro Specialty Contractors Inc.'],1,,,,Retro Specialty Contractors Inc.
bright future studio,['Bright Future Studio Ltd.'],1,,,,Bright Future Studio Ltd.
mcrae s environmental services,"[""MCRAE'S ENVIRONMENTAL SERVICES LTD.""]",1,,,,MCRAE'S ENVIRONMENTAL SERVICES LTD.
british columbia centre for disease control bccdc part of the provincial health services authority,"['BRITISH COLUMBIA CENTRE FOR DISEASE CONTROL (“BCCDC”), part of the\nProvincial Health Services Authority']",1,,,,"BRITISH COLUMBIA CENTRE FOR DISEASE CONTROL (“BCCDC”), part of the
Provincial Health Services Authority"
master stucco,['Master Stucco Ltd.'],1,,,,Master Stucco Ltd.
brown and caldwell,['Brown and Caldwell'],1,,,,Brown and Caldwell
s p global market intelligence,"['S&P Global Market Intelligence, LLC']",1,,,,"S&P Global Market Intelligence, LLC"
brown and oakes archaeology,['BROWN AND OAKES ARCHAEOLOGY'],1,,,,BROWN AND OAKES ARCHAEOLOGY
unit4 business software,['UNIT4 BUSINESS SOFTWARE CORPORATION'],1,,,,UNIT4 BUSINESS SOFTWARE CORPORATION
brown oakes archaeology,['Brown & Oakes Archaeology'],1,,,,Brown & Oakes Archaeology
mehrdad mehrain,['Mehrdad Mehrain'],1,,,,Mehrdad Mehrain
brymark installations group,['Brymark Installations Group Inc.'],1,,,,Brymark Installations Group Inc.
blue pine enterprises,['Blue Pine Enterprises Ltd.'],1,,,,Blue Pine Enterprises Ltd.
bty group,['BTY Group'],1,,,,BTY Group
metro concrete restoration,['Metro Concrete Restoration'],1,,,,Metro Concrete Restoration
metro roofing sheet metal,['Metro Roofing & Sheet Metal Ltd'],1,,,,Metro Roofing & Sheet Metal Ltd
birco environmental services,['Birco Environmental Services Ltd.'],1,,,,Birco Environmental Services Ltd.
c3 mainline inspections,['C3 Mainline Inspections Incorporated'],1,,,,C3 Mainline Inspections Incorporated
biomaxx waste water solutions nl,['BioMaxx Waste Water Solutions (NL) Inc.'],1,,,,BioMaxx Waste Water Solutions (NL) Inc.
metrovan construction,['MetroVan Construction Ltd.'],1,,,,MetroVan Construction Ltd.
marine roofing 1996,['MARINE ROOFING (1996) LTD'],1,,,,MARINE ROOFING (1996) LTD
canadian center for economic analysis,['Canadian Center for economic analysis'],1,,,,Canadian Center for economic analysis
wesco distribution,['Wesco Distribution'],1,,,,Wesco Distribution
canadian dewatering fluid management system,['Canadian Dewatering Fluid Management System'],1,,,,Canadian Dewatering Fluid Management System
rescue 7,['Rescue 7 Inc'],1,,,,Rescue 7 Inc
canam group,['Canam Group Inc.'],1,,,,Canam Group Inc.
saint bernadine mission communications,['Saint Bernadine Mission Communications'],1,,,,Saint Bernadine Mission Communications
capital green landscape,['Capital Green Landscape Ltd.'],1,,,,Capital Green Landscape Ltd.
mcelhanney,['McElhanney Ltd.'],1,,,,McElhanney Ltd.
capital green landscaping,['Capital Green Landscaping Ltd.'],1,,,,Capital Green Landscaping Ltd.
milestone environmental contracting,['Milestone Environmental Contracting Inc.'],1,,,,Milestone Environmental Contracting Inc.
carleton university,['Carleton University'],1,,,,Carleton University
united rentals of canada,"['UNITED RENTALS OF CANADA, INC']",1,,,,"UNITED RENTALS OF CANADA, INC"
carollo engineers,['Carollo Engineers Ltd.'],1,,,,Carollo Engineers Ltd.
miller thomson,['Miller Thomson LLP'],1,,,,Miller Thomson LLP
carscadden stokes mcdonald architects,['Carscadden Stokes McDonald Architects Inc.'],1,,,,Carscadden Stokes McDonald Architects Inc.
uap dba napa auto parts,['UAP INC (D.B.A. NAPA AUTO PARTS)'],1,,,,UAP INC (D.B.A. NAPA AUTO PARTS)
cascade roofing,['Cascade Roofing'],1,,,,Cascade Roofing
sand gravel transportation,['Sand & Gravel Transportation Ltd.'],1,,,,Sand & Gravel Transportation Ltd.
cascadia strategy consulting,['Cascadia Strategy Consulting'],1,,,,Cascadia Strategy Consulting
svn,['SvN'],1,,,,SvN
catalyst consulting group,['Catalyst Consulting Group'],1,,,,Catalyst Consulting Group
mlm conveying systems,['MLM Conveying Systems Inc.'],1,,,,MLM Conveying Systems Inc.
cb information services,"['CB Information Services, Inc.']",1,,,,"CB Information Services, Inc."
bi pure water canada,['Bi Pure Water (Canada) Inc.'],1,,,,Bi Pure Water (Canada) Inc.
cb process instruments controls the supply contractor,['CB Process Instruments & Controls (the “Supply Contractor”)'],1,,,,CB Process Instruments & Controls (the “Supply Contractor”)
mnp,['MNP LLP'],1,,,,MNP LLP
cci combustion control,['CCI COMBUSTION CONTROL INC'],1,,,,CCI COMBUSTION CONTROL INC
sanjeev malushte sole proprietor,['Sanjeev Malushte (Sole Proprietor)'],1,,,,Sanjeev Malushte (Sole Proprietor)
cdm smith,['CDM Smith'],1,,,,CDM Smith
modus planning design engagement,"['Modus Planning, Design & Engagement Inc.']",1,,,,"Modus Planning, Design & Engagement Inc."
monica b emelko,['Monica B. Emelko'],1,,,,Monica B. Emelko
univar solutions canada,['Univar Solutions Canada'],1,,,,Univar Solutions Canada
montrose environmental group,['Montrose Environmental Group'],1,,,,Montrose Environmental Group
sasco contractors,['SASCO CONTRACTORS LTD.'],1,,,,SASCO CONTRACTORS LTD.
cem,['CEM CORPORATION'],1,,,,CEM CORPORATION
vision consulting,['Vision Consulting'],1,,,,Vision Consulting
cerco design,['Cerco Design'],1,,,,Cerco Design
moody s analytics,"[""Moody's Analytics Inc""]",1,,,,Moody's Analytics Inc
chamco industries,['Chamco industries ltd.'],1,,,,Chamco industries ltd.
kgs group,['KGS Group'],1,,,,KGS Group
charter project delivery,['Charter Project Delivery Inc.'],1,,,,Charter Project Delivery Inc.
royal roads,['Royal Roads'],1,,,,Royal Roads
chernoff thompson architects,['Chernoff Thompson Architects'],1,,,,Chernoff Thompson Architects
berto contractors,['BERTO CONTRACTORS LTD.'],1,,,,BERTO CONTRACTORS LTD.
mott electric gp,['MOTT ELECTRIC GP'],1,,,,MOTT ELECTRIC GP
syncollab strategies,['Syncollab Strategies'],1,,,,Syncollab Strategies
circular solutions,['Circular Solutions Inc.'],1,,,,Circular Solutions Inc.
royal wood tree services,['Royal Wood Tree Services'],1,,,,Royal Wood Tree Services
citadel roofing and building maintenance,['Citadel Roofing and Building Maintenance'],1,,,,Citadel Roofing and Building Maintenance
universal sheet metal,['UNIVERSAL SHEET METAL'],1,,,,UNIVERSAL SHEET METAL
city spaces consulting,['City Spaces Consulting'],1,,,,City Spaces Consulting
belpacific excavating shoring partnership dba bel contracting,"['BelPacific Excavating & Shoring Limited Partnership, dba Bel Contracting']",1,,,,"BelPacific Excavating & Shoring Limited Partnership, dba Bel Contracting"
clean energy consulting,['Clean Energy Consulting Inc.'],1,,,,Clean Energy Consulting Inc.
mrh biotechnical services,['MRH Biotechnical Services Ltd.'],1,,,,MRH Biotechnical Services Ltd.
clearsky risk management,['ClearSky Risk Management Inc.'],1,,,,ClearSky Risk Management Inc.
beta analytic,['Beta Analytic LLC'],1,,,,Beta Analytic LLC
clearview demolition,['Clearview Demolition Ltd.'],1,,,,Clearview Demolition Ltd.
mts engineering,['MTS Engineering Inc.'],1,,,,MTS Engineering Inc.
clover valley trauma management,['CLOVER VALLEY TRAUMA MANAGEMENT'],1,,,,CLOVER VALLEY TRAUMA MANAGEMENT
seaforth construction,['Seaforth Construction Ltd.'],1,,,,Seaforth Construction Ltd.
murray latta progressive machines,['MURRAY LATTA PROGRESSIVE MACHINES INC'],1,,,,MURRAY LATTA PROGRESSIVE MACHINES INC
t sekhon trucking,['T Sekhon Trucking Ltd.'],1,,,,T Sekhon Trucking Ltd.
code electric products,['Code Electric Products Ltd.'],1,,,,Code Electric Products Ltd.
ac dandy products,['AC Dandy Products'],1,,,,AC Dandy Products
colliers,['Colliers'],1,,,,Colliers
mva power,['mva power inc.'],1,,,,mva power inc.
colliers project leaders,['Colliers Project Leaders Inc.'],1,,,,Colliers Project Leaders Inc.
secure waste infrastructure,['SECURE WASTE INFRASTRUCTURE CORP.'],1,,,,SECURE WASTE INFRASTRUCTURE CORP.
cologix,['Cologix Inc'],1,,,,Cologix Inc
sedgwick strategies,['Sedgwick Strategies Inc.'],1,,,,Sedgwick Strategies Inc.
companion construction 2020,['Companion Construction (2020) LTD.'],1,,,,Companion Construction (2020) LTD.
mcneill nakamoto recruitment group,['McNeill Nakamoto Recruitment Group'],1,,,,McNeill Nakamoto Recruitment Group
nanometrics,['NANOMETRICS INC.'],1,,,,NANOMETRICS INC.
seismic 2000 construction,['Seismic 2000 Construction Ltd.'],1,,,,Seismic 2000 Construction Ltd.
conetec investigations,['ConeTec Investigations Ltd.'],1,,,,ConeTec Investigations Ltd.
t2 utility engineers,['T2 Utility Engineers'],1,,,,T2 Utility Engineers
conwest contracting,['Conwest Contracting Ltd.'],1,,,,Conwest Contracting Ltd.
nations first contracting,['Nations First Contracting'],1,,,,Nations First Contracting
nats nursery,['NATS Nursery Ltd.'],1,,,,NATS Nursery Ltd.
wagner,['Wagner'],1,,,,Wagner
coriolis,['Coriolis'],1,,,,Coriolis
navigator,['Navigator Ltd.'],1,,,,Navigator Ltd.
cornerstone adjusters,['CORNERSTONE ADJUSTERS INC.'],1,,,,CORNERSTONE ADJUSTERS INC.
sense engineering,['Sense Engineering Ltd.'],1,,,,Sense Engineering Ltd.
corrcoat services,['Corrcoat Services Inc.'],1,,,,Corrcoat Services Inc.
neda roohnia landscape design,['Neda Roohnia Landscape Design'],1,,,,Neda Roohnia Landscape Design
corrpora canada,['Corrpora Canada Inc.'],1,,,,Corrpora Canada Inc.
bel contracting,['BEL Contracting'],1,,,,BEL Contracting
coywolf technologies,['Coywolf Technologies Inc.'],1,,,,Coywolf Technologies Inc.
net2source,['NET2SOURCE INC.'],1,,,,NET2SOURCE INC.
credence,['Credence & Co'],1,,,,Credence & Co
tek roofing,['TEK Roofing Ltd.'],1,,,,TEK Roofing Ltd.
crown technical systems,['Crown Technical Systems'],1,,,,Crown Technical Systems
new city contracting,['New City Contracting Ltd.'],1,,,,New City Contracting Ltd.
cubex,['Cubex Ltd.'],1,,,,Cubex Ltd.
adrian brown group,['Adrian Brown Group Inc.'],1,,,,Adrian Brown Group Inc.
cummins sales and service,['Cummins Sales and Service'],1,,,,Cummins Sales and Service
new era learning,['New Era Learning'],1,,,,New Era Learning
custom air conditioning,['CUSTOM AIR CONDITIONING LTD.'],1,,,,CUSTOM AIR CONDITIONING LTD.
teknicor,['Teknicor Corporation'],1,,,,Teknicor Corporation
customair conditioning,['CustomAir Conditioning Ltd.'],1,,,,CustomAir Conditioning Ltd.
nexim healthcare consultants,['NEXIM HEALTHCARE CONSULTANTS INC.'],1,,,,NEXIM HEALTHCARE CONSULTANTS INC.
cutting edge consulting,['Cutting Edge Consulting'],1,,,,Cutting Edge Consulting
mainland sand gravel,['MAINLAND SAND & GRAVEL'],1,,,,MAINLAND SAND & GRAVEL
cwa engineers,['CWA Engineers Inc.'],1,,,,CWA Engineers Inc.
ngl nordicity,['NGL Nordicity'],1,,,,NGL Nordicity
dalberg consulting us,['DALBERG CONSULTING US LLC'],1,,,,DALBERG CONSULTING US LLC
shape shifter eva,['Shape Shifter EVA Inc'],1,,,,Shape Shifter EVA Inc
danish hydraulic institute research dhi water and environment,"['Danish Hydraulic Institute Research Ltd. (DHI Water and Environment, Inc.)']",1,,,,"Danish Hydraulic Institute Research Ltd. (DHI Water and Environment, Inc.)"
niva,['NIVA Inc.'],1,,,,NIVA Inc.
david aplin and associates,['DAVID APLIN AND ASSOCIATES INC.'],1,,,,DAVID APLIN AND ASSOCIATES INC.
bc road safe,['BC Road Safe'],1,,,,BC Road Safe
davidson truk tow,['DAVIDSON TRUK TOW LTD.'],1,,,,DAVIDSON TRUK TOW LTD.
si systems,['SI Systems'],1,,,,SI Systems
dba b b heavy civil construction,['DBA B&B Heavy Civil Construction Ltd.'],1,,,,DBA B&B Heavy Civil Construction Ltd.
urban systems urban matters,['Urban Systems/Urban Matters'],1,,,,Urban Systems/Urban Matters
norlang contracting,['NORLANG CONTRACTING LTD.'],1,,,,NORLANG CONTRACTING LTD.
telcam training,['Telcam Training Inc.'],1,,,,Telcam Training Inc.
delta aggregates,['Delta Aggregates Ltd.'],1,,,,Delta Aggregates Ltd.
ross w boulanger sole proprietor,['Ross W Boulanger (sole proprietor)'],1,,,,Ross W Boulanger (sole proprietor)
delta sierra construction millwork,['Delta Sierra Construction & Millwork'],1,,,,Delta Sierra Construction & Millwork
north america construction 1993 nac,['North America Construction (1993) Ltd. (NAC)'],1,,,,North America Construction (1993) Ltd. (NAC)
desjardins financial security life assurance company,['Desjardins Financial Security Life Assurance Company'],1,,,,Desjardins Financial Security Life Assurance Company
westburne west,['Westburne West'],1,,,,Westburne West
dhr international canada,['DHR INTERNATIONAL CANADA INC.'],1,,,,DHR INTERNATIONAL CANADA INC.
north shore rescue,['North Shore Rescue'],1,,,,North Shore Rescue
diamon schmitt architects,['Diamon Schmitt Architects'],1,,,,Diamon Schmitt Architects
bc mail plus,['BC Mail Plus'],1,,,,BC Mail Plus
simson maxwell,['Simson-Maxwell Ltd.'],1,,,,Simson-Maxwell Ltd.
telus communications,['TELUS Communications Inc.'],1,,,,TELUS Communications Inc.
dj a canada,['DJ&A Canada Corp'],1,,,,DJ&A Canada Corp
kerr wood leidel associates kwl,['Kerr Wood Leidel Associates Ltd. (KWL)'],1,,,,Kerr Wood Leidel Associates Ltd. (KWL)
dnv canada,['DNV Canada Ltd.'],1,,,,DNV Canada Ltd.
nsda architects,['NSDA Architects'],1,,,,NSDA Architects
double m excavating,['Double M Excavating Ltd.'],1,,,,Double M Excavating Ltd.
major industrial e risk services,['Major Industrial E-Risk Services Inc.'],1,,,,Major Industrial E-Risk Services Inc.
dougness holdings,['Dougness Holdings Ltd'],1,,,,Dougness Holdings Ltd
o2 planning design,['O2 Planning + Design'],1,,,,O2 Planning + Design
o4 architecture,['O4 Architecture Ltd.'],1,,,,O4 Architecture Ltd.
tenfold hr solutions,['TENFOLD HR SOLUTIONS'],1,,,,TENFOLD HR SOLUTIONS
drycake,['DRYCAKE'],1,,,,DRYCAKE
ocean ambassadors canada,['Ocean Ambassadors Canada'],1,,,,Ocean Ambassadors Canada
duka environmental services,['Duka Environmental Services Ltd.'],1,,,,Duka Environmental Services Ltd.
baker engineering and risk consultants,"['Baker Engineering and Risk Consultants, Inc.']",1,,,,"Baker Engineering and Risk Consultants, Inc."
dunsky energy climate advisors 6893449 canada,['Dunsky Energy + Climate Advisors / 6893449 Canada Inc.'],1,,,,Dunsky Energy + Climate Advisors / 6893449 Canada Inc.
usp technologies canada,['USP Technologies Canada ULC'],1,,,,USP Technologies Canada ULC
duron roofing,['DURON ROOFING LTD'],1,,,,DURON ROOFING LTD
wajax,['Wajax'],1,,,,Wajax
dynamic rescue training,['DYNAMIC RESCUE TRAINING LTD.'],1,,,,DYNAMIC RESCUE TRAINING LTD.
olade consulting,['OLADE CONSULTING INC.'],1,,,,OLADE CONSULTING INC.
e lees associates consulting,['E. Lees & Associates Consulting Ltd.'],1,,,,E. Lees & Associates Consulting Ltd.
lucas design,['Lucas Design'],1,,,,Lucas Design
eagle west crane rigging,['EAGLE WEST CRANE & RIGGING'],1,,,,EAGLE WEST CRANE & RIGGING
olympic roofing,['Olympic Roofing'],1,,,,Olympic Roofing
easy park,['EASY PARK'],1,,,,EASY PARK
slbc,['SLBC INC'],1,,,,SLBC INC
ebb environmental consulting,['EBB Environmental Consulting Inc'],1,,,,EBB Environmental Consulting Inc
one eighty consulting group,['One-Eighty Consulting Group Inc'],1,,,,One-Eighty Consulting Group Inc
ebp us,['EBP US'],1,,,,EBP US
terra remote sensing,['Terra Remote Sensing Inc.'],1,,,,Terra Remote Sensing Inc.
ecofish research,['Ecofish Research Ltd.'],1,,,,Ecofish Research Ltd.
open green building society,['Open Green Building Society'],1,,,,Open Green Building Society
ecologia tecnica sa,['ECOLOGIA TECNICA SA'],1,,,,ECOLOGIA TECNICA SA
slingshot communications,['Slingshot Communications Inc'],1,,,,Slingshot Communications Inc
ecora engineering resource group,['ECORA ENGINEERING & RESOURCE GROUP LTD'],1,,,,ECORA ENGINEERING & RESOURCE GROUP LTD
open text,['OPEN TEXT CORPORATION'],1,,,,OPEN TEXT CORPORATION
eggert projects,['Eggert Projects Ltd.'],1,,,,Eggert Projects Ltd.
bba engineering,['BBA Engineering Ltd.'],1,,,,BBA Engineering Ltd.
ehan engineering,['EHAN ENGINEERING LTD.'],1,,,,EHAN ENGINEERING LTD.
optimus sbr,['Optimus SBR'],1,,,,Optimus SBR
eight,['Eight LLC'],1,,,,Eight LLC
slr consulting,['SLR Consulting'],1,,,,SLR Consulting
electrep,"['Electrep, Inc.']",1,,,,"Electrep, Inc."
oracle canada,['ORACLE CANADA ULC'],1,,,,ORACLE CANADA ULC
ella advisory services,['Ella Advisory Services'],1,,,,Ella Advisory Services
terralink horticulture,['TerraLink Horticulture Inc.'],1,,,,TerraLink Horticulture Inc.
emco water works,['EMCO Water Works'],1,,,,EMCO Water Works
orkin canada,['Orkin Canada Corporation'],1,,,,Orkin Canada Corporation
emelko advisory services,['Emelko Advisory Services'],1,,,,Emelko Advisory Services
small housing bc society,['Small Housing BC Society'],1,,,,Small Housing BC Society
emm consulting pty,['EMM Consulting Pty Ltd.'],1,,,,EMM Consulting Pty Ltd.
oscar renda contracting,['Oscar Renda Contracting'],1,,,,Oscar Renda Contracting
tes contract services,['T.E.S. CONTRACT SERVICES Inc.'],1,,,,T.E.S. CONTRACT SERVICES Inc.
kimbo design,['KIMBO Design Inc.'],1,,,,KIMBO Design Inc.
enduro construction,['Enduro Construction Ltd.'],1,,,,Enduro Construction Ltd.
smithcraft architecture,['Smithcraft Architecture'],1,,,,Smithcraft Architecture
energia supply,['Energia Supply Ltd.'],1,,,,Energia Supply Ltd.
tetra tech,['Tetra Tech'],1,,,,Tetra Tech
engaging minds consulting,['Engaging Minds Consulting Ltd.'],1,,,,Engaging Minds Consulting Ltd.
pacific blue cross,['Pacific Blue Cross'],1,,,,Pacific Blue Cross
enkon information systems,['ENKON Information Systems Inc.'],1,,,,ENKON Information Systems Inc.
west coast healthy vending,['West Coast Healthy Vending Inc.'],1,,,,West Coast Healthy Vending Inc.
pacific casa construction,['Pacific Casa Construction Inc.'],1,,,,Pacific Casa Construction Inc.
sms equipment,['SMS Equipment Inc.'],1,,,,SMS Equipment Inc.
environics research group,['Environics Research Group Ltd.'],1,,,,Environics Research Group Ltd.
van der zalm associates consulting,['Van der Zalm + Associates Consulting Ltd'],1,,,,Van der Zalm + Associates Consulting Ltd
erm canada,['ERM Canada Ltd.'],1,,,,ERM Canada Ltd.
snc lavalin,['SNC Lavalin Inc.'],1,,,,SNC Lavalin Inc.
esmia consultants,['ESMIA Consultants Inc.'],1,,,,ESMIA Consultants Inc.
blackbear excavating,['BLACKBEAR EXCAVATING LTD'],1,,,,BLACKBEAR EXCAVATING LTD
pacific rim laboratories,['PACIFIC RIM LABORATORIES INC'],1,,,,PACIFIC RIM LABORATORIES INC
the blue goose cattle company,['THE BLUE GOOSE CATTLE COMPANY'],1,,,,THE BLUE GOOSE CATTLE COMPANY
etro construction,['ETRO Construction Limited'],1,,,,ETRO Construction Limited
avo vehicle outfitting,['AVO Vehicle Outfitting'],1,,,,AVO Vehicle Outfitting
evergreen environmental and reclamation,['Evergreen Environmental and Reclamation Ltd.'],1,,,,Evergreen Environmental and Reclamation Ltd.
pacificasa marine holdings,['Pacificasa Marine Holdings Inc.'],1,,,,Pacificasa Marine Holdings Inc.
evoke buildings engineering,['Evoke Buildings Engineering Inc.'],1,,,,Evoke Buildings Engineering Inc.
local practice architecture design,['Local Practice Architecture & Design Ltd.'],1,,,,Local Practice Architecture & Design Ltd.
par bhullar trucking,['Par Bhullar Trucking Ltd.'],1,,,,Par Bhullar Trucking Ltd.
linde canada,['Linde Canada Inc.'],1,,,,Linde Canada Inc.
ken abraham consulting,['Ken Abraham Consulting'],1,,,,Ken Abraham Consulting
aveva software canada,['AVEVA Software Canada Inc.'],1,,,,AVEVA Software Canada Inc.
f marqs,['F-MARQS'],1,,,,F-MARQS
parker johnston industries,['Parker Johnston Industries Ltd'],1,,,,Parker Johnston Industries Ltd
finney taylor consulting group,['FINNEY TAYLOR CONSULTING GROUP LTD'],1,,,,FINNEY TAYLOR CONSULTING GROUP LTD
logitek technology,['LOGITEK TECHNOLOGY LTD'],1,,,,LOGITEK TECHNOLOGY LTD
ai ndt labs,['A.I NDT Labs Inc'],1,,,,A.I NDT Labs Inc
atlas apex roofing bc,['Atlas-Apex Roofing (BC) Inc.'],1,,,,Atlas-Apex Roofing (BC) Inc.
flank construction,['Flank Construction Ltd'],1,,,,Flank Construction Ltd
lidd consultants,['LIDD Consultants Inc.'],1,,,,LIDD Consultants Inc.
flexcell engineering,['Flexcell Engineering'],1,,,,Flexcell Engineering
vancouver island tree service,['Vancouver Island Tree Service'],1,,,,Vancouver Island Tree Service
peak construction services,['PEAK CONSTRUCTION SERVICES LTD.'],1,,,,PEAK CONSTRUCTION SERVICES LTD.
aurigo masterworks,['Aurigo (MasterWorks)'],1,,,,Aurigo (MasterWorks)
