vendor_name_key,vendor_name,variant_count,vendor_name_display,merge_confidence,merge_notes,variants_pipe
gei consultants,"['GEI CONSULTANTS INC.', 'GEI Consultants', 'GEI Consultants Inc.']",3,,,,GEI CONSULTANTS INC. | GEI Consultants | GEI Consultants Inc.
flocor,"['FLOCOR', 'Flocor Inc', 'Flocor Inc.']",3,,,,FLOCOR | Flocor Inc | Flocor Inc.
pacific ropes contracting,"['PACIFIC ROPES CONTRACTING LTD', 'PACIFIC ROPES CONTRACTING LTD.', 'Pacific Ropes Contracting Ltd.']",3,,,,PACIFIC ROPES CONTRACTING LTD | PACIFIC ROPES CONTRACTING LTD. | Pacific Ropes Contracting Ltd.
pacific flow control,"['PACIFIC FLOW CONTROL LIMITED', 'PACIFIC FLOW CONTROL LTD.', 'Pacific Flow Control Ltd.']",3,,,,PACIFIC FLOW CONTROL LIMITED | PACIFIC FLOW CONTROL LTD. | Pacific Flow Control Ltd.
entuitive,"['Entuitive', 'Entuitive Corp.', 'Entuitive Corporation']",3,,,,Entuitive | Entuitive Corp. | Entuitive Corporation
skylark management,"['SKYLARK MANAGEMENT CORP', 'Skylark Management Corp', 'Skylark Management Corp.']",3,,,,SKYLARK MANAGEMENT CORP | Skylark Management Corp | Skylark Management Corp.
northwest hydraulic consultants,"['NORTHWEST HYDRAULIC CONSULTANTS LTD.', 'Northwest Hydraulic Consultants Ltd', 'Northwest Hydraulic Consultants Ltd.']",3,,,,NORTHWEST HYDRAULIC CONSULTANTS LTD. | Northwest Hydraulic Consultants Ltd | Northwest Hydraulic Consultants Ltd.
signia construction,"['SIGNIA CONSTRUCTION LTD.', 'Signia Construction Ltd', 'Signia Construction Ltd.']",3,,,,SIGNIA CONSTRUCTION LTD. | Signia Construction Ltd | Signia Construction Ltd.
deetken enterprises,"['Deetken Enterprises', 'Deetken Enterprises Inc', 'Deetken Enterprises Inc.']",3,,,,Deetken Enterprises | Deetken Enterprises Inc | Deetken Enterprises Inc.
norland,"['NORLAND LIMITED', 'NorLand Ltd.', 'Norland Limited']",3,,,,NORLAND LIMITED | NorLand Ltd. | Norland Limited
concord excavating contracting,"['CONCORD EXCAVATING & CONTRACTING LTD.', 'Concord Excavating & Contracting Ltd', 'Concord Excavating & Contracting Ltd.']",3,,,,CONCORD EXCAVATING & CONTRACTING LTD. | Concord Excavating & Contracting Ltd | Concord Excavating & Contracting Ltd.
michels canada,"['MICHELS CANADA CO.', 'Michels Canada Co.', 'Michels Canada Inc.']",3,,,,MICHELS CANADA CO. | Michels Canada Co. | Michels Canada Inc.
mccuaig associates engineering,"['McCuaig & ASSOCIATES ENGINEERING LTD', 'McCuaig & Associates Engineering Ltd', 'McCuaig & Associates Engineering Ltd.']",3,,,,McCuaig & ASSOCIATES ENGINEERING LTD | McCuaig & Associates Engineering Ltd | McCuaig & Associates Engineering Ltd.
bollman roofing sheet metal,"['BOLLMAN ROOFING & SHEET METAL LTD', 'Bollman Roofing & Sheet Metal Ltd', 'Bollman Roofing & Sheet Metal Ltd.']",3,,,,BOLLMAN ROOFING & SHEET METAL LTD | Bollman Roofing & Sheet Metal Ltd | Bollman Roofing & Sheet Metal Ltd.
rsavage contracting,"['RSAVAGE CONTRACTING', 'Rsavage Contracting', 'Rsavage contracting']",3,,,,RSAVAGE CONTRACTING | Rsavage Contracting | Rsavage contracting
western pacific enterprises,"['WESTERN PACIFIC ENTERPRISES LTD', 'Western Pacific Enterprises']",2,,,,WESTERN PACIFIC ENTERPRISES LTD | Western Pacific Enterprises
mack kirk roofing and sheet metal,"['MACK KIRK ROOFING AND SHEET METAL LTD.', 'Mack Kirk Roofing and Sheet Metal Ltd.']",2,,,,MACK KIRK ROOFING AND SHEET METAL LTD. | Mack Kirk Roofing and Sheet Metal Ltd.
access welding coating inspections,"['Access Welding & Coating Inspections Ltd', 'Access Welding & Coating Inspections Ltd.']",2,,,,Access Welding & Coating Inspections Ltd | Access Welding & Coating Inspections Ltd.
ba blacktop,"['B.A. BLACKTOP LTD', 'BA Blacktop']",2,,,,B.A. BLACKTOP LTD | BA Blacktop
absolute building science strata engineering,"['Absolute Building Science Strata Engineering Inc', 'Absolute Building Science Strata Engineering Inc.']",2,,,,Absolute Building Science Strata Engineering Inc | Absolute Building Science Strata Engineering Inc.
axis inspection group,"['AXIS Inspection Group Ltd.', 'Axis Inspection Group Ltd']",2,,,,AXIS Inspection Group Ltd. | Axis Inspection Group Ltd
rogers communications canada,"['ROGERS COMMUNICATIONS CANADA INC.', 'Rogers Communications Canada Inc.']",2,,,,ROGERS COMMUNICATIONS CANADA INC. | Rogers Communications Canada Inc.
abb,"['ABB INC.', 'ABB Inc.']",2,,,,ABB INC. | ABB Inc.
ausenco engineering canada,"['Ausenco Engineering Canada Inc.', 'Ausenco Engineering Canada Incorporated']",2,,,,Ausenco Engineering Canada Inc. | Ausenco Engineering Canada Incorporated
roe environmental,"['ROE Environmental Inc.', 'Roe Environmental Inc.']",2,,,,ROE Environmental Inc. | Roe Environmental Inc.
atco structures logistics,"['ATCO STRUCTURES & LOGISTICS LTD', 'ATCO Structures & Logistics Ltd.']",2,,,,ATCO STRUCTURES & LOGISTICS LTD | ATCO Structures & Logistics Ltd.
water street engineering,"['Water Street Engineering Ltd', 'Water Street Engineering Ltd.']",2,,,,Water Street Engineering Ltd | Water Street Engineering Ltd.
wastech services,"['WASTECH SERVICES INC.', 'Wastech Services Inc.']",2,,,,WASTECH SERVICES INC. | Wastech Services Inc.
arrow speed controls,"['Arrow Speed Controls Ltd', 'Arrow Speed Controls Ltd.']",2,,,,Arrow Speed Controls Ltd | Arrow Speed Controls Ltd.
ventana construction,"['VENTANA CONSTRUCTION', 'Ventana Construction']",2,,,,VENTANA CONSTRUCTION | Ventana Construction
arbutus west agency,"['Arbutus West Agency Ltd', 'Arbutus West Agency Ltd.']",2,,,,Arbutus West Agency Ltd | Arbutus West Agency Ltd.
vanguard power,"['VANGUARD POWER LTD', 'Vanguard Power Ltd.']",2,,,,VANGUARD POWER LTD | Vanguard Power Ltd.
aquacoustic remote technologies,"['AquaCoustic Remote Technologies', 'AquaCoustic Remote Technologies Inc.']",2,,,,AquaCoustic Remote Technologies | AquaCoustic Remote Technologies Inc.
rio heating and cooling,"['RIO HEATING AND COOLING LTD', 'Rio Heating and Cooling Ltd.']",2,,,,RIO HEATING AND COOLING LTD | Rio Heating and Cooling Ltd.
lanesafe traffic control,"['Lanesafe Traffic Control', 'Lanesafe Traffic Control Ltd.']",2,,,,Lanesafe Traffic Control | Lanesafe Traffic Control Ltd.
valleyside contracting services,"['VALLEYSIDE CONTRACTING SERVICES LTD.', 'Valleyside Contracting Services']",2,,,,VALLEYSIDE CONTRACTING SERVICES LTD. | Valleyside Contracting Services
aplin martin,"['Aplin Martin', 'Aplin&Martin']",2,,,,Aplin Martin | Aplin&Martin
rider hunt international alberta,"['RIDER HUNT INTERNATIONAL (ALBERTA) INC.', 'Rider Hunt International (Alberta) Inc.']",2,,,,RIDER HUNT INTERNATIONAL (ALBERTA) INC. | Rider Hunt International (Alberta) Inc.
valley projects,"['Valley Projects Ltd', 'Valley Projects Ltd.']",2,,,,Valley Projects Ltd | Valley Projects Ltd.
ric power,"['RIC Power Corp.', 'RIC Power Corporation']",2,,,,RIC Power Corp. | RIC Power Corporation
