competition_number,competition_type,competition_description,awarded_date,vendor_name,awarded_amount,is_awarded,source_year,amount_missing,is_awarded_flag,amount_scope,group_award_flag,financial_kpi_eligible,awarded_amount_numeric,competition_type_standardized,vendor_name_clean
23-115,RFP,Consulting Services for Cloverdale Pump Station Stage 1 Upgrade Project,2023-07-25,Stantec Consulting Ltd,,No,2023,True,False,not_awarded,False,False,,RFP,Stantec Consulting Ltd
23-115,RFP,Consulting Services for Cloverdale Pump Station Stage 1 Upgrade Project,2023-07-25,WSP Canada Ltd.,,No,2023,True,False,not_awarded,False,False,,RFP,WSP Canada Ltd.
23-204,RFP,Professional Consulting Services for Project Management Standards Development,2023-07-26,Deloitte LLP,"$ 236,637.00",Yes,2023,False,True,vendor_specific,False,True,236637.0,RFP,Deloitte LLP
23-204,RFP,Professional Consulting Services for Project Management Standards Development,2023-07-26,KPMG LLP,,No,2023,True,False,not_awarded,False,False,,RFP,KPMG LLP
23-172,SS/NOIC,Weight Scale Maintenance Service Contract,2023-07-27,Mettler Toledo Inc.,"$ 420,604.12",Yes,2023,False,True,vendor_specific,False,True,420604.12,SS/NOIC,Mettler Toledo Inc.
22-304,RFQ,"Consulting Services – Design, Construction and Post Construction Services for Seymour and Capilano Dam Safety Booms",2023-07-28,Klohn Crippen Berger Ltd.,"$ 179,982.00",Yes,2023,False,True,vendor_specific,False,True,179982.0,RFQ,Klohn Crippen Berger Ltd.
22-304,RFQ,"Consulting Services – Design, Construction and Post Construction Services for Seymour and Capilano Dam Safety Booms",2023-07-28,WSP Canada Inc.,,No,2023,True,False,not_awarded,False,False,,RFQ,WSP Canada Inc.
23-185,RFP,Competitive Analysis of Metro Vancouver's Tech Sector,2023-07-31,KPMG LLP,"$ 89,440.00",Yes,2023,False,True,vendor_specific,False,True,89440.0,RFP,KPMG LLP
23-185,RFP,Competitive Analysis of Metro Vancouver's Tech Sector,2023-07-31,Deloitte,,No,2023,True,False,not_awarded,False,False,,RFP,Deloitte
23-185,RFP,Competitive Analysis of Metro Vancouver's Tech Sector,2023-07-31,Ernst & Young LLP,,No,2023,True,False,not_awarded,False,False,,RFP,Ernst & Young LLP
